nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
APPLE INC COM,037833100,2996,16870,SH,,OTR,,0,0,16870
APPLE INC COM,037833100,7715,43450,SH,,SOLE,,0,0,43450
ABBVIE INC COM,00287Y109,1,5,SH,,OTR,,0,0,5
ABBVIE INC COM,00287Y109,610,4508,SH,,SOLE,,0,0,4508
ALLIANCEBERNSTEIN HLDG L P UNIT LTD PARTN,01881G106,249,5100,SH,,SOLE,,0,0,5100
AMEREN CORP COM,023608102,296,3324,SH,,OTR,,0,0,3324
AMEREN CORP COM,023608102,524,5885,SH,,SOLE,,0,0,5885
AKOUSTIS TECHNOLOGIES INC COM,00973N102,1,91,SH,,OTR,,0,0,91
AKOUSTIS TECHNOLOGIES INC COM,00973N102,77,11567,SH,,SOLE,,0,0,11567
ALLSTATE CORP COM,020002101,1,5,SH,,OTR,,0,0,5
ALLSTATE CORP COM,020002101,457,3885,SH,,SOLE,,0,0,3885
AMAZON COM INC COM,023135106,313,94,SH,,OTR,,0,0,94
AMAZON COM INC COM,023135106,2881,864,SH,,SOLE,,0,0,864
ACTIVISION BLIZZARD INC COM,00507V109,0,6,SH,,OTR,,0,0,6
ACTIVISION BLIZZARD INC COM,00507V109,332,4986,SH,,SOLE,,0,0,4986
BROADCOM INC COM,11135F101,1,2,SH,,OTR,,0,0,2
BROADCOM INC COM,11135F101,808,1215,SH,,SOLE,,0,0,1215
BUNGE LIMITED COM,G16962105,1,11,SH,,OTR,,0,0,11
BUNGE LIMITED COM,G16962105,734,7865,SH,,SOLE,,0,0,7865
BRISTOL-MYERS SQUIBB CO COM,110122108,0,8,SH,,OTR,,0,0,8
BRISTOL-MYERS SQUIBB CO COM,110122108,381,6105,SH,,SOLE,,0,0,6105
BERKSHIRE HATHAWAY INC DEL CL B NEW,084670702,7,22,SH,,OTR,,0,0,22
BERKSHIRE HATHAWAY INC DEL CL B NEW,084670702,332,1111,SH,,SOLE,,0,0,1111
CARDINAL HEALTH INC COM,14149Y108,1,10,SH,,OTR,,0,0,10
CARDINAL HEALTH INC COM,14149Y108,354,6878,SH,,SOLE,,0,0,6878
CHEVRON CORP NEW COM,166764100,1,6,SH,,OTR,,0,0,6
CHEVRON CORP NEW COM,166764100,509,4334,SH,,SOLE,,0,0,4334
DEVON ENERGY CORP NEW COM,25179M103,784,17788,SH,,SOLE,,0,0,17788
ECOLAB INC COM,278865100,462,1969,SH,,OTR,,0,0,1969
META PLATFORMS INC CL A,30303M102,42,125,SH,,OTR,,0,0,125
META PLATFORMS INC CL A,30303M102,2999,8915,SH,,SOLE,,0,0,8915
FMC CORP COM NEW,302491303,1,5,SH,,OTR,,0,0,5
FMC CORP COM NEW,302491303,362,3295,SH,,SOLE,,0,0,3295
