nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
AMAZON COM INC COM,023135106,17545,5262,SH,,SOLE,,0,0,5262
GLOBAL PMTS INC COM,37940X102,3190,23604,SH,,SOLE,,0,0,23604
ULTA BEAUTY INC COM,90384S303,5248,12729,SH,,SOLE,,0,0,12729
INVESCO QQQ TRUST,46090E103,1163,2925,SH,,SOLE,,0,0,2925
TECHNOLOGY SELECT SECTOR SPDR FUND,81369Y803,4450,25599,SH,,SOLE,,0,0,25599
STARBUCKS CORP COM,855244109,4622,39517,SH,,SOLE,,0,0,39517
PUBLIC SVC ENTERPRISE GRP INC COM,744573106,214,3207,SH,,SOLE,,0,0,3207
SPDR PORTFOLIO AGGREGATE BOND ETF,78464A649,47167,1592436,SH,,SOLE,,0,0,1592436
MONSTER BEVERAGE CORP NEW COM,61174X109,3358,34972,SH,,SOLE,,0,0,34972
VULCAN MATLS CO COM,929160109,512,2470,SH,,SOLE,,0,0,2470
JOHNSON JOHNSON COM,478160104,9182,53679,SH,,SOLE,,0,0,53679
SEAGATE TECHNOLOGY HLDNGS PLC ORD SHS,G7997R103,448,3974,SH,,SOLE,,0,0,3974
WASTE MGMT INC DEL COM,94106L109,2117,12689,SH,,SOLE,,0,0,12689
VANGUARD TOTAL STOCK MARKET INDEX FUND,922908769,8226,34072,SH,,SOLE,,0,0,34072
MICROCHIP TECHNOLOGY INC. ,595017AD6,274,71000,SH,,SOLE,,0,0,71000
VANGUARD ENERGY INDEX FUND,92204A306,490,6320,SH,,SOLE,,0,0,6320
COSTCO WHSL CORP NEW COM,22160K105,13402,23609,SH,,SOLE,,0,0,23609
YUM BRANDS INC COM,988498101,467,3366,SH,,SOLE,,0,0,3366
PROCTER AND GAMBLE CO COM,742718109,3827,23400,SH,,SOLE,,0,0,23400
GENERAL MLS INC COM,370334104,831,12342,SH,,SOLE,,0,0,12342
PPG INDS INC COM,693506107,1980,11486,SH,,SOLE,,0,0,11486
UNITED PARCEL SERVICE INC CL B,911312106,4295,20039,SH,,SOLE,,0,0,20039
