Consolidated Statements of Cash Flows - USD ($) $ in Thousands,"Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
Net income,11523.0,19050.0,27902.0
Depreciation and finance lease amortization,11482.0,12344.0,12391.0
Amortization of intangible assets,2142.0,2207.0,322.0
Deferred income taxes,180.0,2908.0,4169.0
Gain on insurance proceeds,0.0,-1147.0,-1641.0
Share-based compensation expense,3216.0,3088.0,1709.0
"Other, net",193.0,1889.0,856.0
Trade and other receivables,392.0,1563.0,-3435.0
"Contract assets, net",-33752.0,8109.0,-8379.0
Inventories,-17650.0,7153.0,8649.0
Prepaid expenses and other assets,6727.0,2514.0,2454.0
Accounts payable,16783.0,-3501.0,-4675.0
Accrued and other liabilities,-7047.0,-90.0,2564.0
Net cash provided by (used in) operating activities,-5811.0,56087.0,42886.0
"Acquisition of business, net of cash acquired",-87215.0,-48728.0,0.0
Purchases of property and equipment,-13262.0,-14013.0,-8585.0
Purchases of intangible assets,0.0,-329.0,0.0
Proceeds from insurance,0.0,1637.0,2123.0
Other investing activities,325.0,0.0,39.0
Net cash used in investing activities,-100152.0,-61433.0,-6423.0
Borrowings on line of credit,122272.0,41377.0,41744.0
Repayments on line of credit,-35511.0,-41377.0,-53208.0
Borrowings on long-term debt,0.0,15879.0,0.0
Payments on long-term debt,-13762.0,-2117.0,0.0
Payments on finance lease liabilities,-415.0,-420.0,-434.0
Payments of debt issuance costs,-385.0,-465.0,-228.0
Tax withholdings related to net share settlements of restricted stock and performance share awards,-1166.0,-618.0,0.0
Net cash provided by (used in) financing activities,71033.0,12259.0,-12126.0
Change in cash and cash equivalents,-34930.0,6913.0,24337.0
"Cash and cash equivalents, beginning of period",37927.0,31014.0,6677.0
"Cash and cash equivalents, end of period",2997.0,37927.0,31014.0
"Cash paid during the period for interest, net of amounts capitalized",339.0,599.0,369.0
"Cash paid (received) during the period for income taxes (net of refunds of $79, $153, and $286)",2481.0,1397.0,-55.0
Accrued property and equipment purchases,788.0,325.0,719.0
Accrued consideration in acquisition of business,911.0,0.0,0.0
Right-of-use assets obtained in exchange for operating lease liabilities,16043.0,4471.0,1335.0
Right-of-use assets obtained in exchange for finance lease liabilities,853.0,507.0,819.0
