nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
ABBOTT LABS,002824100,8444,60000,SH,,SOLE,,60000,0,0
ACUITY BRANDS INC,00508Y102,9045,42720,SH,,SOLE,,42720,0,0
ADVANCED MICRO DEVICES INC,007903107,8417,58493,SH,,SOLE,,58493,0,0
AECOM,00766T100,13448,173861,SH,,SOLE,,173861,0,0
AFFIRM HLDGS INC,00827B106,20011,199000,SH,Put,SOLE,,199000,0,0
AMERICAN AIRLS GROUP INC,02376R102,4454,248000,SH,Put,SOLE,,248000,0,0
AMN HEALTHCARE SVCS INC,001744101,12222,99910,SH,,SOLE,,99910,0,0
ANSYS INC,03662Q105,1719,4286,SH,,SOLE,,4286,0,0
ANTHEM INC,94973VBG1,657,100000,PRN,,SOLE,,100000,0,0
ARCH RESOURCES INC,039389AB7,525,200000,PRN,,SOLE,,200000,0,0
ATLAS AIR WORLDWIDE HLDGS IN,049164205,3946,41930,SH,,SOLE,,41930,0,0
AZENTA INC,114340102,20619,199973,SH,,SOLE,,199973,0,0
BIO-TECHNE CORP,09073M104,32039,61930,SH,,SOLE,,61930,0,0
BIOLIFE SOLUTIONS INC,09062W204,2190,58761,SH,,SOLE,,58761,0,0
BLOCK INC,852234103,17766,110000,SH,Put,SOLE,,110000,0,0
BRIGHTHOUSE FINL INC,10922N103,15540,300000,SH,Put,SOLE,,300000,0,0
BROADCOM INC,11135F200,280,135,SH,,SOLE,,135,0,0
CAE INC,124765108,7572,300000,SH,Call,SOLE,,300000,0,0
CAE INC,124765108,9032,357856,SH,,SOLE,,357856,0,0
CARNIVAL CORP,143658300,1992,99000,SH,Put,SOLE,,99000,0,0
CHARLES RIV LABS INTL INC,159864107,9112,24183,SH,,SOLE,,24183,0,0
CHEMOURS CO,163851108,4205,125300,SH,Put,SOLE,,125300,0,0
CLEAN HARBORS INC,184496107,15967,160037,SH,,SOLE,,160037,0,0
COCA COLA CO,191216100,15343,259130,SH,,SOLE,,259130,0,0
COINBASE GLOBAL INC,19260Q107,22461,89000,SH,Put,SOLE,,89000,0,0
CROWN CASTLE INTL CORP NEW,22822V101,261,1250,SH,,SOLE,,1250,0,0
DANAHER CORPORATION,235851102,13272,40340,SH,,SOLE,,40340,0,0
DATADOG INC,23804L103,3827,21486,SH,,SOLE,,21486,0,0
DXC TECHNOLOGY CO,23355L106,12879,400100,SH,Put,SOLE,,400100,0,0
EASTGROUP PPTYS INC,277276101,32485,142571,SH,,SOLE,,142571,0,0
ENTEGRIS INC,29362U104,12127,87512,SH,,SOLE,,87512,0,0
EXPONENT INC,30214U102,23608,202244,SH,,SOLE,,202244,0,0
FAIR ISAAC CORP,303250104,8941,20618,SH,,SOLE,,20618,0,0
FIRST INDL RLTY TR INC,32054K103,232,3500,SH,,SOLE,,3500,0,0
FRANKLIN RESOURCES INC,354613101,26558,793000,SH,Put,SOLE,,793000,0,0
GAMESTOP CORP NEW,36467W109,16175,109000,SH,Put,SOLE,,109000,0,0
GAMING & LEISURE PPTYS INC,36467J108,224,4600,SH,,SOLE,,4600,0,0
HERBALIFE NUTRITION LTD,G4412G101,4093,100000,SH,Put,SOLE,,100000,0,0
HUBBELL INC,443510607,11690,56128,SH,,SOLE,,56128,0,0
INMODE LTD,M5425M103,10162,143973,SH,,SOLE,,143973,0,0
INVESCO EXCH TRADED FD TR II,46138G508,774,35000,SH,,SOLE,,35000,0,0
ISHARES TR,464287648,3077,10500,SH,,SOLE,,10500,0,0
ISHARES TR,464287606,20633,242000,SH,,SOLE,,242000,0,0
JETBLUE AWYS CORP,477143101,7063,496000,SH,Put,SOLE,,496000,0,0
LABORATORY CORP AMER HLDGS,50540R409,10995,34992,SH,,SOLE,,34992,0,0
LANDSTAR SYS INC,515098101,7964,44484,SH,,SOLE,,44484,0,0
LEMONADE INC,52567D107,14869,353100,SH,Put,SOLE,,353100,0,0
LEVI STRAUSS & CO NEW,52736R102,4057,162089,SH,,SOLE,,162089,0,0
LIBERTY MEDIA CORP DEL,531229854,23614,373407,SH,,SOLE,,373407,0,0
LIVE NATION ENTERTAINMENT IN,538034109,18819,157230,SH,,SOLE,,157230,0,0
LIVERAMP HLDGS INC,53815P108,17756,370300,SH,Put,SOLE,,370300,0,0
MARTIN MARIETTA MATLS INC,573284106,8736,19830,SH,,SOLE,,19830,0,0
MARVELL TECHNOLOGY INC,573874104,17663,201881,SH,,SOLE,,201881,0,0
MASTERCARD INCORPORATED,57636Q104,16361,45533,SH,,SOLE,,45533,0,0
MEDICAL PPTYS TRUST INC,58463J304,236,10000,SH,,SOLE,,10000,0,0
MICROCHIP TECHNOLOGY INC.,595017104,6749,77525,SH,,SOLE,,77525,0,0
MICROSOFT CORP,594918104,7577,22528,SH,,SOLE,,22528,0,0
MONTROSE ENVIRONMENTAL GROUP,615111101,14590,206923,SH,,SOLE,,206923,0,0
MORGAN STANLEY,617446448,19632,200000,SH,Put,SOLE,,200000,0,0
MOTOROLA SOLUTIONS INC,620076307,231,850,SH,,SOLE,,850,0,0
MP MATERIALS CORP,553368101,7216,158883,SH,,SOLE,,158883,0,0
MP MATERIALS CORP,553368101,18145,399500,SH,Call,SOLE,,399500,0,0
NANO X IMAGING LTD,M70700105,10182,700300,SH,Put,SOLE,,700300,0,0
NEOGEN CORP,640491106,4052,89230,SH,,SOLE,,89230,0,0
NEW RELIC INC,64829B100,16475,149828,SH,,SOLE,,149828,0,0
NOVANTA INC,67000B104,7024,39836,SH,,SOLE,,39836,0,0
NU SKIN ENTERPRISES INC,67018T105,3806,75000,SH,Put,SOLE,,75000,0,0
NUANCE COMMUNICATIONS INC,67020Y100,37025,669291,SH,,SOLE,,669291,0,0
NV5 GLOBAL INC,62945V109,1351,9784,SH,,SOLE,,9784,0,0
NXP SEMICONDUCTORS N V,N6596X109,8686,38134,SH,,SOLE,,38134,0,0
ON SEMICONDUCTOR CORP,682189105,15017,221096,SH,,SOLE,,221096,0,0
ON SEMICONDUCTOR CORP,682189AP0,657,200000,PRN,,SOLE,,200000,0,0
PROCTER AND GAMBLE CO,742718109,25078,153310,SH,,SOLE,,153310,0,0
PROG HOLDINGS INC,74319R101,17909,397000,SH,Put,SOLE,,397000,0,0
PROLOGIS INC.,74340W103,10048,59681,SH,,SOLE,,59681,0,0
QUIDEL CORP,74838J101,7762,57500,SH,Call,SOLE,,57500,0,0
ROBINHOOD MKTS INC,770700102,12906,726700,SH,Put,SOLE,,726700,0,0
ROCKWELL AUTOMATION INC,773903109,11896,34100,SH,,SOLE,,34100,0,0
SALESFORCE COM INC,79466L302,28119,110647,SH,,SOLE,,110647,0,0
SEMTECH CORP,816850101,4804,54018,SH,,SOLE,,54018,0,0
SONOS INC,83570H108,5681,190628,SH,,SOLE,,190628,0,0
SONOS INC,83570H108,22469,754000,SH,Call,SOLE,,754000,0,0
SYNOPSYS INC,871607107,10464,28395,SH,,SOLE,,28395,0,0
TAIWAN SEMICONDUCTOR MFG LTD,874039100,14030,116617,SH,,SOLE,,116617,0,0
TECK RESOURCES LTD,878742204,216,7500,SH,,SOLE,,7500,0,0
TELEDYNE TECHNOLOGIES INC,879360105,5183,11864,SH,,SOLE,,11864,0,0
TERADYNE INC,880770102,45761,279830,SH,,SOLE,,279830,0,0
TETRA TECH INC NEW,88162G103,6278,36974,SH,,SOLE,,36974,0,0
UNUM GROUP,91529Y106,28602,1164100,SH,Put,SOLE,,1164100,0,0
VISA INC,92826C839,7585,35000,SH,,SOLE,,35000,0,0
VULCAN MATLS CO,929160109,13914,67029,SH,,SOLE,,67029,0,0
W & T OFFSHORE INC,92922P106,194,60000,SH,,SOLE,,60000,0,0
WATERS CORP,941848103,4970,13339,SH,,SOLE,,13339,0,0
WATSCO INC,942622200,20158,64426,SH,,SOLE,,64426,0,0
WELLTOWER INC,95040Q104,18598,216836,SH,,SOLE,,216836,0,0
WESTERN UN CO,959802109,2658,149000,SH,Put,SOLE,,149000,0,0
WESTLAKE CHEM CORP,960413102,7770,80000,SH,,SOLE,,80000,0,0
WYNN RESORTS LTD,983134107,25257,297000,SH,Put,SOLE,,297000,0,0
YUM BRANDS INC,988498101,7535,54264,SH,,SOLE,,54264,0,0
ZSCALER INC,98980G102,4958,15431,SH,,SOLE,,15431,0,0
